,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,dominant_topic
80,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.01,0.3,0.01,0.12,0.23,0.02,0.11,0.0,0.0,0.14,0.0,10
81,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.05,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,16
82,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.03,0.0,0.0,0.29,0.0,0.15,0.04,0.21,0.06,0.02,0.0,0.04,0.07,10
83,0.0,0.3,0.0,0.0,0.08,0.0,0.0,0.0,0.11,0.11,0.07,0.0,0.01,0.0,0.03,0.0,0.0,0.03,0.08,0.16,1
84,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.18,0.0,0.05,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.43,19
85,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.02,0.09,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.02,18
86,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.01,16
87,0.0,0.0,0.0,0.06,0.02,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,16
88,0.01,0.0,0.0,0.0,0.06,0.0,0.16,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,16
89,0.0,0.01,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.06,0.54,0.0,0.13,0.03,0.0,0.0,0.0,13
90,0.0,0.0,0.0,0.0,0.01,0.0,0.05,0.0,0.0,0.02,0.0,0.08,0.0,0.0,0.0,0.01,0.81,0.0,0.0,0.02,16
91,0.03,0.0,0.09,0.54,0.12,0.01,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,3
92,0.0,0.24,0.0,0.0,0.21,0.0,0.02,0.0,0.0,0.0,0.04,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.02,0.0,12
93,0.0,0.0,0.46,0.0,0.21,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.01,2
94,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.01,0.37,0.0,0.2,0.03,0.0,0.0,0.22,0.0,0.0,0.0,10
95,0.0,0.05,0.0,0.0,0.18,0.08,0.0,0.0,0.01,0.4,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.25,0.0,0.0,9
96,0.0,0.0,0.27,0.0,0.17,0.07,0.02,0.0,0.04,0.16,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,2
97,0.0,0.0,0.01,0.0,0.4,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,4
98,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.03,0.0,0.56,0.02,0.0,0.0,0.0,15
99,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.24,0.3,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.17,0.05,10
100,0.0,0.0,0.54,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,2
101,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.06,0.22,0.02,8
102,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.55,0.29,0.0,0.0,0.0,15
103,0.0,0.0,0.03,0.0,0.1,0.36,0.02,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.23,0.0,0.0,0.0,5
104,0.0,0.0,0.0,0.0,0.15,0.04,0.0,0.01,0.06,0.0,0.17,0.0,0.04,0.0,0.0,0.05,0.0,0.33,0.12,0.02,17
105,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,16
106,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.02,0.0,0.03,0.02,0.02,0.0,0.0,0.0,0.87,0.0,0.0,0.0,16
107,0.0,0.0,0.0,0.22,0.39,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.06,0.0,0.0,4
108,0.0,0.0,0.02,0.0,0.22,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,16
109,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,16
110,0.0,0.0,0.0,0.45,0.37,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,3
111,0.0,0.0,0.63,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2
112,0.0,0.02,0.0,0.01,0.04,0.0,0.0,0.0,0.28,0.06,0.22,0.0,0.0,0.12,0.06,0.01,0.0,0.0,0.17,0.0,8
113,0.0,0.0,0.0,0.09,0.06,0.4,0.0,0.28,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,5
114,0.0,0.0,0.27,0.0,0.19,0.0,0.0,0.42,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
115,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,10
116,0.0,0.0,0.0,0.02,0.16,0.0,0.0,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,16
117,0.01,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.16,0.12,0.06,4
118,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.13,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,16
119,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.14,0.12,0.0,0.04,0.2,0.02,0.0,0.0,8
120,0.0,0.0,0.07,0.0,0.04,0.0,0.48,0.38,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
121,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,16
122,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,16
123,0.05,0.0,0.0,0.22,0.48,0.03,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,4
124,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,16
125,0.0,0.07,0.73,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.02,0.12,0.0,0.0,0.0,0.0,0.0,0.0,2
126,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,16
127,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.05,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,11
128,0.0,0.0,0.05,0.0,0.03,0.0,0.0,0.0,0.15,0.07,0.05,0.01,0.0,0.39,0.12,0.01,0.03,0.05,0.03,0.0,13
129,0.0,0.0,0.0,0.13,0.56,0.0,0.0,0.0,0.05,0.09,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
130,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.09,0.0,0.02,0.07,0.11,0.0,0.0,0.0,0.0,0.0,0.01,0.51,19
131,0.0,0.31,0.05,0.0,0.13,0.09,0.0,0.0,0.17,0.0,0.0,0.0,0.22,0.0,0.0,0.04,0.0,0.0,0.0,0.0,1
132,0.0,0.0,0.0,0.29,0.43,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,4
133,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,7
134,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.02,0.0,0.0,0.09,0.02,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,16
135,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.18,0.35,0.0,0.11,0.0,0.0,0.0,0.0,4
136,0.0,0.0,0.16,0.0,0.11,0.0,0.0,0.02,0.0,0.0,0.05,0.16,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,15
137,0.09,0.0,0.0,0.0,0.13,0.0,0.07,0.0,0.0,0.0,0.07,0.08,0.07,0.0,0.0,0.33,0.03,0.0,0.0,0.13,15
138,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,16
139,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.25,0.02,0.0,0.0,0.0,10
140,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.01,0.78,0.0,0.0,0.0,16
141,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,16
142,0.0,0.0,0.01,0.0,0.08,0.0,0.0,0.0,0.0,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,10
143,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.01,0.18,0.07,0.18,8
144,0.0,0.0,0.03,0.0,0.15,0.0,0.0,0.31,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,16
145,0.0,0.44,0.0,0.0,0.2,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.09,0.06,0.0,0.09,0.0,0.03,0.0,0.0,1
146,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
147,0.0,0.08,0.02,0.0,0.22,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.22,0.0,8
148,0.0,0.0,0.01,0.0,0.15,0.01,0.0,0.08,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.03,16
149,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.58,0.0,0.0,0.0,16
150,0.0,0.0,0.0,0.0,0.33,0.38,0.0,0.03,0.09,0.0,0.01,0.04,0.0,0.01,0.0,0.0,0.0,0.02,0.09,0.0,5
